Respondent_ID,Name,Age,Gender,City_ID,Age_Group
120031,Aniruddh Issac,15-18,Female,CT117,Young Adult
120032,Trisha Rout,19-30,Male,CT118,Young Adult
120033,Yuvraj  Virk,15-18,Male,CT116,Young Adult
120034,Pranay Chand,31-45,Female,CT113,Middle Adult
120035,Mohanlal Joshi,19-30,Female,CT120,Young Adult
120036,Zeeshan Ratta,19-30,Female,CT118,Young Adult
120037,Oorja Anne,19-30,Male,CT112,Young Adult
120038,Rhea Khanna,19-30,Male,CT116,Young Adult
120039,Zara Joshi,46-65,Male,CT116,Middle Adult
120040,Sana Dhawan,19-30,Female,CT116,Young Adult
120041,Misha Warrior,19-30,Female,CT113,Young Adult
120042,Kiara Chander,19-30,Female,CT112,Young Adult
120043,Kimaya Borde,19-30,Male,CT113,Young Adult
120044,Tushar Malhotra,19-30,Male,CT112,Young Adult
120045,Azad Gera,65+,Male,CT113,Senior
120046,Aarav Bath,19-30,Male,CT114,Young Adult
120047,Ojas Char,19-30,Male,CT112,Young Adult
120048,Advik Baria,19-30,Male,CT116,Young Adult
120049,Dhruv Loyal,19-30,Female,CT113,Young Adult
120050,Dharmajan Doshi,31-45,Female,CT114,Middle Adult
120051,Diya Srinivas,19-30,Male,CT118,Young Adult
120052,Alia Lala,31-45,Non-binary,CT112,Middle Adult
120053,Samaira Lad,19-30,Male,CT112,Young Adult
120054,Pari Subramaniam,19-30,Male,CT114,Young Adult
120055,Umang Sarkar,31-45,Non-binary,CT117,Middle Adult
120056,Rhea Kar,19-30,Male,CT118,Young Adult
120057,Kanav Thaman,19-30,Male,CT117,Young Adult
120058,Biju Bera,19-30,Female,CT119,Young Adult
120059,Sana Bumb,19-30,Male,CT113,Young Adult
120060,Piya Sani,19-30,Male,CT118,Young Adult
120061,Yuvaan Kari,19-30,Male,CT116,Young Adult
120062,Tanya Deshmukh,19-30,Male,CT116,Young Adult
120063,Diya Sunder,19-30,Male,CT114,Young Adult
120064,Shanaya Kadakia,15-18,Male,CT118,Young Adult
120065,Shamik Chaudry,19-30,Male,CT115,Young Adult
120066,Yashvi Deo,19-30,Female,CT116,Young Adult
120067,Eshani Bahl,65+,Male,CT118,Senior
120068,Anahi Ganguly,15-18,Female,CT116,Young Adult
120069,Kismat Lata,19-30,Female,CT112,Young Adult
